action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,72103,[],CHEMBL879983,Inhibition of Neisseria gonorrhoeae Dihydrofolate reductase(DHFR),B,,,BAO_0000190,BAO_0000357,single protein format,CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1O,,,CHEMBL1124217,J Med Chem,1988,"{'bei': '25.41', 'le': '0.47', 'lle': '4.86', 'sei': '7.06'}",CHEMBL25817,,CHEMBL25817,6.92,0,http://www.openphacts.org/units/Nanomolar,33106,=,1,1,=,,IC50,nM,,120.0,CHEMBL202,Homo sapiens,Dihydrofolate reductase,9606,,,I50,M,UO_0000065,,1.2E-7
,,73098,[],CHEMBL879983,Inhibition of Neisseria gonorrhoeae Dihydrofolate reductase(DHFR),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)c1cc(Cc2cnc(N)nc2N)cc(C(C)(C)C)c1O,,,CHEMBL1124217,J Med Chem,1988,"{'bei': '21.97', 'le': '0.41', 'lle': '3.68', 'sei': '7.36'}",CHEMBL277176,,CHEMBL277176,7.21,0,http://www.openphacts.org/units/Nanomolar,33104,=,1,1,=,,IC50,nM,,61.0,CHEMBL202,Homo sapiens,Dihydrofolate reductase,9606,,,I50,M,UO_0000065,,6.1E-8
,,73111,[],CHEMBL879983,Inhibition of Neisseria gonorrhoeae Dihydrofolate reductase(DHFR),B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1cc(Cc2cnc(N)nc2N)cc(CC)c1OC,,,CHEMBL1124217,J Med Chem,1988,"{'bei': '24.49', 'le': '0.46', 'lle': '4.60', 'sei': '8.45'}",CHEMBL279455,,CHEMBL279455,7.36,0,http://www.openphacts.org/units/Nanomolar,33112,=,1,1,=,,IC50,nM,,44.0,CHEMBL202,Homo sapiens,Dihydrofolate reductase,9606,,,I50,M,UO_0000065,,4.4E-8
,,75210,[],CHEMBL879983,Inhibition of Neisseria gonorrhoeae Dihydrofolate reductase(DHFR),B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C/c1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,,CHEMBL1124217,J Med Chem,1988,"{'bei': '23.41', 'le': '0.44', 'lle': '4.75', 'sei': '7.30'}",CHEMBL23338,,CHEMBL23338,7.03,0,http://www.openphacts.org/units/Nanomolar,33120,=,1,1,=,,IC50,nM,,93.0,CHEMBL202,Homo sapiens,Dihydrofolate reductase,9606,,,I50,M,UO_0000065,,9.3E-8
,,75776,[],CHEMBL668278,Inhibitory concentration against dihydrofolate reductase enzyme (DHFR) enzyme isolated from CCRF-CEM human leukemia cells.,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCCN)C(=O)O)cc1,,,CHEMBL1129353,J Med Chem,1996,"{'bei': '19.57', 'le': '0.37', 'lle': '8.46', 'sei': '4.32'}",CHEMBL36083,,CHEMBL36083,8.60,0,http://www.openphacts.org/units/Nanomolar,153242,=,1,1,=,,IC50,nM,,2.5,CHEMBL202,Homo sapiens,Dihydrofolate reductase,9606,,,IC50,nM,UO_0000065,,2.5
,,75778,[],CHEMBL668279,Inhibitory concentration against dihydrofolate reductase enzyme (DHFR) enzyme isolated from CCRF-CEM human leukemia cells. value mentioned is from literature,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCCN)C(=O)O)cc1,,,CHEMBL1129353,J Med Chem,1996,"{'bei': '20.48', 'le': '0.38', 'lle': '8.86', 'sei': '4.52'}",CHEMBL36083,,CHEMBL36083,9.00,0,http://www.openphacts.org/units/Nanomolar,153242,=,1,1,=,,IC50,nM,,1.0,CHEMBL202,Homo sapiens,Dihydrofolate reductase,9606,,,IC50,nM,UO_0000065,,1.0
,,79720,[],CHEMBL879983,Inhibition of Neisseria gonorrhoeae Dihydrofolate reductase(DHFR),B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,,CHEMBL1124217,J Med Chem,1988,"{'bei': '21.86', 'le': '0.41', 'lle': '5.09', 'sei': '6.02'}",CHEMBL22,TRIMETHOPRIM,CHEMBL22,6.35,1,http://www.openphacts.org/units/Nanomolar,33101,=,1,1,=,,IC50,nM,,450.0,CHEMBL202,Homo sapiens,Dihydrofolate reductase,9606,,,I50,M,UO_0000065,,4.5E-7
,,81456,[],CHEMBL668277,Inhibitory concentration against dihydrofolate reductase (DHFR) enzyme isolated from CCRF-CEM human leukemia cells.,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,,,CHEMBL1129353,J Med Chem,1996,"{'bei': '19.99', 'le': '0.38', 'lle': '8.82', 'sei': '4.32'}",CHEMBL34259,METHOTREXATE,CHEMBL34259,9.09,0,http://www.openphacts.org/units/Nanomolar,153238,=,1,1,=,,IC50,nM,,0.82,CHEMBL202,Homo sapiens,Dihydrofolate reductase,9606,,,IC50,nM,UO_0000065,,0.82
,,83623,[],CHEMBL668441,Inhibitory activity against human dihydrofolate reductase,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(O)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1,,,CHEMBL1134503,J Med Chem,2001,"{'bei': '11.67', 'le': '0.22', 'lle': '4.09', 'sei': '2.46'}",CHEMBL61708,,CHEMBL61708,5.00,0,http://www.openphacts.org/units/Nanomolar,105563,=,1,1,=,,IC50,nM,,10000.0,CHEMBL202,Homo sapiens,Dihydrofolate reductase,9606,,,IC50,uM,UO_0000065,,10.0
,,84133,[],CHEMBL879983,Inhibition of Neisseria gonorrhoeae Dihydrofolate reductase(DHFR),B,,,BAO_0000190,BAO_0000357,single protein format,C=CCc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,,CHEMBL1124217,J Med Chem,1988,"{'bei': '23.17', 'le': '0.43', 'lle': '4.98', 'sei': '7.23'}",CHEMBL282022,,CHEMBL282022,6.96,0,http://www.openphacts.org/units/Nanomolar,33119,=,1,1,=,,IC50,nM,,110.0,CHEMBL202,Homo sapiens,Dihydrofolate reductase,9606,,,I50,M,UO_0000065,,1.1E-7
